word1,word2,freq
behind,even,70256
behind,still,66690
behind,never,39756
behind,well,38599
behind,however,32110
best,even,31729
best,well,30524
behind,always,30317
behind,probably,29991
behind,often,26925
behind,back,25683
behind,far,24304
behind,later,23530
behind,yet,23029
behind,eventually,22698
behind,already,21835
behind,quite,21706
behind,almost,20219
behind,long,19377
behind,thus,19374
best,almost,18818
behind,simply,18054
best,still,17263
behind,rather,17045
behind,soon,15723
behind,fully,15720
best,however,15627
behind,first,15237
behind,ever,14235
behind,nearly,14100
best,later,14084
behind,finally,13913
behind,sometimes,13909
best,far,13868
best,ever,13495
behind,less,12581
behind,actually,12266
behind,completely,12079
behind,recently,12078
behind,instead,12077
quickly,even,11829
behind,especially,11582
behind,really,11265
behind,apparently,11262
best,often,10193
best,first,10144
behind,else,9939
behind,certainly,9939
behind,longer,9255
behind,moreover,9119
quickly,still,8931
behind,east,8931
best,back,8757
behind,carefully,8614
best,yet,8576
behind,alone,8434
behind,entirely,8120
behind,together,8116
behind,highly,8114
behind,quickly,7898
behind,obviously,7622
quickly,well,7590
best,finally,7451
best,never,7422
behind,hardly,7299
behind,consequently,7294
behind,purely,7294
behind,abroad,7294
behind,earlier,7108
behind,elsewhere,7107
behind,away,6805
behind,inevitably,6795
behind,precisely,6794
best,nearly,6686
best,away,6678
behind,indeed,6612
best,always,6486
best,long,6355
best,actually,6165
behind,best,6161
best,already,6016
best,quite,5963
best,largely,5823
behind,ago,5790
behind,closely,5788
behind,approximately,5787
behind,surely,5786
best,enough,5734
best,really,5487
behind,frequently,5475
behind,normally,5474
behind,widely,5472
behind,virtually,5472
behind,extremely,5471
behind,meanwhile,5286
quickly,however,5150
quickly,never,5150
best,completely,5084
behind,enough,4978
behind,clearly,4973
behind,relatively,4973
behind,frankly,4970
behind,generally,4970
behind,directly,4969
behind,interfere,4969
behind,simultaneously,4968
behind,constantly,4968
behind,afterward,4967
behind,undoubtedly,4967
best,aside,4961
best,inevitably,4690
best,probably,4684
best,obviously,4609
best,simply,4550
behind,russia,4466
behind,perfectly,4466
behind,incredibly,4465
behind,partly,4465
behind,anyway,4465
behind,solely,4465
behind,literally,4465
best,thus,4456
best,clearly,4376
best,particularly,4335
quickly,back,4221
best,slowly,4218
best,apparently,4203
best,merely,4193
often,even,4150
best,entirely,4075
best,especially,4019
best,hardly,4016
quickly,far,3974
behind,officially,3965
behind,secretly,3964
behind,otherwise,3964
quickly,almost,3880
best,america,3869
best,generally,3799
quickly,often,3762
best,essentially,3745
best,exclusively,3729
best,sometimes,3721
best,somewhat,3703
behind,right,3657
quickly,always,3655
behind,merely,3652
behind,practically,3650
behind,seriously,3650
behind,readily,3650
behind,unfortunately,3649
behind,truly,3649
behind,personally,3648
behind,similarly,3648
behind,fischer,3647
behind,discover,3647
behind,deeply,3647
behind,plainly,3647
behind,privately,3647
behind,repeatedly,3647
behind,wisely,3646
behind,nkvd,3646
behind,fast,3646
best,else,3561
best,together,3436
best,right,3421
best,practically,3374
best,less,3371
behind,suddenly,3220
best,anywhere,3154
behind,aside,3154
behind,naturally,3153
behind,largely,3151
behind,exactly,3149
behind,pretty,3148
behind,everywhere,3147
behind,apart,3146
behind,likely,3146
behind,temporarily,3146
behind,gradually,3145
behind,easily,3145
behind,early,3145
behind,definitely,3145
behind,sooner,3145
behind,somehow,3145
behind,vastly,3144
behind,ordinarily,3144
behind,neatly,3144
behind,politburo,3144
behind,fundamentally,3144
behind,experience,3144
best,primarily,3126
best,naturally,3108
best,relatively,3089
best,possibly,3059
often,well,3028
often,still,2989
best,widely,2955
best,considerably,2954
quickly,quite,2895
quickly,nearly,2862
quickly,yet,2845
best,seriously,2830
best,along,2796
best,river,2662
quickly,already,2655
best,moreover,2649
behind,usually,2648
best,ahead,2646
behind,nazis,2645
behind,formerly,2644
behind,heavily,2644
behind,nevertheless,2644
behind,freedom,2644
behind,atmosphere,2643
behind,strangely,2643
behind,latter,2642
behind,eleven,2642
behind,mvd,2642
behind,decisively,2642
behind,north,2642
behind,comparatively,2642
behind,advance,2642
behind,antonescu,2642
best,unfortunately,2616
quickly,finally,2581
best,readily,2560
quickly,ever,2556
best,alone,2550
best,rather,2524
best,front,2517
best,indeed,2501
quickly,sometimes,2469
quickly,simply,2463
best,ago,2461
quickly,longer,2461
best,virtually,2437
best,directly,2382
quickly,long,2367
best,abruptly,2354
best,macarthur,2354
best,scarcely,2354
best,assembly,2354
best,certainly,2329
best,pretty,2268
best,abroad,2241
best,incidentally,2217
quickly,obviously,2182
often,almost,2173
best,firmly,2114
best,likely,2104
best,hard,2092
best,suddenly,2086
quickly,first,2067
best,eventually,2058
quickly,probably,2054
quickly,later,2015
best,quietly,2003
best,freely,1943
best,heard,1939
quickly,rather,1882
best,steadily,1874
best,quickly,1870
quickly,enough,1862
behind,considerably,1830
behind,particularly,1829
behind,slowly,1828
behind,hard,1827
behind,anywhere,1827
behind,ahead,1827
behind,immediately,1827
behind,close,1826
behind,incidentally,1826
behind,either,1826
behind,rapidly,1825
behind,deliberately,1825
behind,assembly,1825
behind,barely,1825
behind,absolutely,1825
behind,rarely,1825
behind,quietly,1825
behind,necessarily,1825
behind,whenever,1825
behind,altogether,1824
behind,hence,1824
behind,moscow,1824
behind,vividly,1824
behind,little,1824
behind,thought,1824
behind,inadequately,1824
behind,feverishly,1824
behind,yes,1824
behind,potentially,1824
behind,openly,1824
behind,eighty,1824
behind,mile,1824
behind,least,1824
behind,inherently,1824
behind,badly,1824
behind,thoroughly,1824
behind,operate,1824
behind,painfully,1824
behind,notably,1824
behind,increasingly,1824
behind,non,1824
behind,reasonably,1824
behind,greatly,1824
behind,mind,1823
behind,twelve,1823
behind,blue,1823
behind,backward,1823
behind,dark,1823
behind,passively,1823
behind,elaborately,1823
behind,astonishingly,1823
behind,seldom,1823
behind,handsomely,1823
behind,honestly,1823
behind,answer,1823
behind,shot,1823
behind,fourteen,1823
behind,painlessly,1823
behind,beside,1823
behind,interpreter,1823
behind,steadfastly,1823
behind,categorically,1823
behind,stoutly,1823
behind,inconveniently,1823
behind,regime,1823
behind,frozen,1823
behind,fatally,1823
behind,late,1823
behind,pitifully,1823
behind,immaculately,1823
behind,troops,1823
behind,sovereignty,1823
behind,busily,1823
behind,notebook,1823
behind,inside,1823
behind,complacently,1823
behind,passageway,1823
behind,stunningly,1823
behind,host,1823
behind,hastily,1823
behind,dust,1823
behind,yalta,1823
behind,become,1823
behind,smugly,1823
behind,enormously,1823
behind,mere,1823
behind,rely,1823
behind,accordingly,1823
behind,woolly,1823
behind,armistice,1823
behind,implicitly,1823
behind,agree,1823
behind,silly,1823
behind,permanently,1823
behind,sonorously,1823
behind,solemnly,1823
behind,excitedly,1823
behind,cursorily,1823
behind,dramatically,1823
behind,consciously,1823
behind,annually,1823
behind,technically,1823
behind,assuredly,1823
behind,sincerely,1823
behind,profoundly,1823
behind,amply,1823
behind,anxiously,1823
behind,chronically,1823
behind,wildly,1823
behind,voluntarily,1823
behind,neck,1823
behind,laboriously,1823
behind,bottle,1823
behind,mistake,1823
behind,sometime,1823
behind,unmistakably,1823
behind,militantly,1823
behind,friendly,1823
behind,muster,1823
behind,kindly,1823
behind,ably,1823
behind,forever,1823
quickly,really,1790
often,nearly,1783
quickly,entirely,1746
best,everywhere,1739
best,immediately,1738
best,learn,1725
quickly,thus,1718
often,back,1649
often,always,1647
best,twice,1644
quickly,alone,1639
best,highly,1609
often,quite,1596
best,ally,1576
quickly,apparently,1569
often,never,1565
best,normally,1552
quickly,especially,1544
best,frequently,1542
often,far,1537
best,temporarily,1530
quickly,certainly,1526
best,recently,1494
quickly,instead,1480
often,however,1458
best,simultaneously,1445
best,officially,1411
best,extremely,1409
best,similarly,1409
longer,even,1376
best,daily,1375
best,approximately,1336
behind,somewhat,1327
quickly,completely,1326
behind,exclusively,1326
behind,primarily,1325
behind,independently,1324
behind,daily,1324
behind,politely,1323
behind,home,1323
behind,august,1322
behind,presumably,1322
behind,subsequently,1322
behind,westward,1322
behind,surprisingly,1322
behind,evidently,1322
behind,secondly,1322
behind,willingly,1322
behind,west,1322
behind,urgently,1322
behind,told,1322
behind,actively,1321
behind,fondly,1321
behind,develop,1321
behind,anti,1321
behind,surreptitiously,1321
behind,regularly,1321
behind,richly,1321
behind,yankee,1321
behind,banquet,1321
behind,nitely,1321
behind,markably,1321
behind,gladly,1321
behind,fall,1321
behind,enter,1321
behind,tito,1321
behind,hurriedly,1321
behind,peacetime,1321
behind,mot,1321
behind,lei,1321
behind,specially,1321
behind,inexpressibly,1321
behind,smell,1321
behind,electrically,1321
behind,china,1321
behind,centrally,1321
behind,andrejez,1321
behind,truthfully,1321
behind,unofficially,1321
behind,revere,1321
behind,writer,1321
behind,trustingly,1321
behind,sweetly,1321
behind,smartly,1321
behind,casually,1321
behind,doughty,1321
behind,horribly,1321
behind,brilliantly,1321
behind,high,1321
behind,expertly,1321
behind,timidly,1321
behind,nullified,1321
behind,meekly,1321
behind,backbone,1321
behind,organize,1321
behind,eyed,1321
behind,disorderly,1321
behind,leaderless,1321
behind,magadan,1321
behind,peacefully,1321
behind,highway,1321
behind,use,1321
behind,likewise,1321
behind,strike,1321
behind,abundantly,1321
behind,elite,1321
behind,strongly,1321
behind,innocence,1321
behind,diplomatically,1321
behind,unfavourably,1321
behind,unusually,1321
behind,sorest,1321
behind,radically,1321
behind,commonly,1321
behind,crockery,1321
behind,grower,1321
behind,fairly,1321
behind,weather,1321
behind,yakutia,1321
behind,eastward,1321
behind,solidly,1321
behind,principally,1321
behind,zavenyaghin,1321
behind,alaska,1321
behind,strategically,1321
behind,geographically,1321
behind,ministry,1321
behind,provide,1321
behind,jointly,1321
behind,fantastically,1321
behind,escape,1321
behind,basin,1321
behind,abram,1321
behind,significantly,1321
behind,nevozurashchentsy,1321
behind,dalugol,1321
behind,nikishev,1321
behind,foremost,1321
behind,sakhalin,1321
best,early,1316
best,potentially,1306
best,thoroughly,1306
best,feverishly,1306
best,badly,1306
best,usually,1304
quickly,eventually,1283
best,deliberately,1280
best,whenever,1280
quickly,indeed,1277
quickly,away,1275
quickly,america,1245
best,east,1235
best,earlier,1217
best,exactly,1209
quickly,soon,1195
often,simply,1190
best,august,1187
best,secondly,1187
best,subsequently,1187
best,west,1187
best,surprisingly,1187
quickly,exactly,1182
best,democratically,1181
quickly,usually,1178
best,sown,1177
best,specifically,1177
best,ultimately,1177
best,noticeably,1177
best,aim,1177
best,partially,1177
best,vest,1177
best,harvester,1177
best,countryside,1177
best,forcefully,1177
best,stewart,1177
best,non,1177
best,drastically,1177
best,severely,1177
best,spontaneously,1177
best,harshly,1177
best,existence,1177
best,ta,1177
best,operate,1177
best,accept,1177
best,effectively,1177
best,purge,1177
best,smoothly,1177
best,overseas,1177
best,substantially,1177
best,adequately,1177
best,parallel,1177
best,traditionally,1177
best,nazis,1175
quickly,less,1172
quickly,aside,1164
often,later,1162
best,home,1161
best,nowhere,1151
best,explain,1151
best,dress,1151
best,store,1151
best,rapidly,1151
best,bother,1151
quickly,considerably,1141
quickly,together,1141
quickly,else,1134
best,barely,1131
often,ever,1128
best,closely,1127
often,enough,1079
often,finally,1078
best,easily,1076
best,south,1070
best,moscow,1066
best,thought,1066
best,plainly,1046
best,discover,1046
quickly,secretly,1043
often,yet,1038
often,entirely,1027
best,heavily,1022
quickly,frankly,1015
best,close,1006
best,absolutely,1002
quickly,perfectly,1001
quickly,frequently,998
back,even,975
best,otherwise,967
best,formerly,961
quickly,fully,961
best,atmosphere,957
best,politely,951
best,soon,950
quickly,relatively,948
quickly,naturally,944
best,consequently,944
best,transport,937
best,gravely,937
best,cause,937
best,offset,937
best,lower,937
best,someday,937
best,progressively,937
best,favorably,937
best,crudely,937
best,impatiently,937
best,sharply,937
best,belligerently,937
best,efficiently,937
best,times,937
best,seemingly,937
best,courtly,937
best,twenty,937
best,listen,937
best,candidly,937
best,finely,937
best,ninety,937
best,logically,937
best,genuinely,937
best,desperately,937
best,immensely,937
best,immeasurably,937
best,require,937
best,adroitly,937
best,differently,937
best,amazingly,937
best,find,937
best,ball,937
best,stalingrad,937
best,piece,937
best,stately,937
best,scraggly,937
best,tenderly,937
best,severe,937
best,sight,937
best,serfdom,937
best,faster,937
best,believe,937
best,wally,937
best,lively,937
best,europe,937
best,leather,937
best,brick,937
best,around,932
quickly,moreover,931
often,probably,928
best,definitely,927
best,hence,917
best,vividly,917
best,altogether,917
quickly,purely,882
quickly,earlier,871
together,nearly,869
often,completely,865
quickly,nazis,854
quickly,russia,853
often,already,849
quickly,hardly,847
together,even,845
often,sometimes,838
often,really,824
quickly,freedom,818
best,purely,815
quickly,twice,812
longer,almost,812
best,strangely,808
longer,still,804
best,precisely,799
quickly,truly,799
quickly,incredibly,798
best,westward,798
often,especially,793
quickly,actually,792
best,powerfully,788
best,forlornly,788
best,peculiarly,788
best,vyazma,788
best,nearer,788
best,freshly,788
best,strictly,788
best,sadly,788
best,sorely,788
best,tver,788
best,absurdly,788
best,magnificently,788
best,thinly,788
best,sufficiently,788
best,tight,788
best,shore,788
best,pile,788
best,describe,788
best,wise,788
best,unthinkingly,788
quickly,normally,770
quickly,recently,768
quickly,heavily,763
quickly,highly,763
quickly,right,760
longer,well,755
often,apparently,742
quickly,independently,741
best,carefully,740
often,thus,740
best,instead,740
often,long,737
often,longer,730
quickly,pretty,721
quickly,constantly,721
quickly,nevertheless,717
best,frankly,700
best,truly,690
longer,never,688
quickly,daily,686
quickly,largely,686
best,personally,686
together,well,682
quickly,repeatedly,679
quickly,widely,679
quickly,extremely,679
quickly,either,672
quickly,precisely,666
longer,obviously,660
quickly,suddenly,658
quickly,carefully,658
longer,however,653
best,independently,652
quickly,formerly,651
best,negro,642
best,swiftly,642
often,else,637
often,first,631
often,aside,625
often,obviously,624
back,still,618
quickly,readily,616
quickly,seriously,616
quickly,somehow,610
quickly,inevitably,610
quickly,directly,608
often,relatively,607
often,particularly,606
quickly,interfere,603
often,readily,598
often,eventually,598
best,longer,594
often,together,592
longer,back,579
best,interfere,567
quickly,unfortunately,567
best,either,561
quickly,partly,560
quickly,advance,560
quickly,antonescu,560
