word1,word2,freq
left,said,170412
left,made,123544
left,seemed,121096
left,told,120938
left,make,117810
left,know,111041
left,believe,93793
left,asked,88417
left,take,86174
left,given,84832
left,saw,80789
left,came,73560
left,see,72910
left,used,71228
left,find,71218
left,say,69844
left,come,66813
left,taken,65789
left,went,64822
left,called,61781
left,set,59712
left,including,57329
left,hundred,54352
left,go,52690
left,get,52441
left,known,49711
left,found,48976
left,met,48596
left,put,47554
left,fighting,47261
left,read,45973
left,built,45854
left,began,45718
left,took,45354
left,king,43815
left,carried,42613
left,wanted,42251
left,thought,42165
left,held,41364
left,keep,41256
left,think,40538
left,seen,38684
left,sent,38468
left,explained,38217
left,knew,36235
left,talked,36029
left,led,35886
left,stood,35775
left,produced,35456
left,going,35311
left,seems,35096
left,paid,35002
left,got,34799
left,russia,34209
left,admitted,34105
left,kept,33600
left,following,32949
left,according,32816
left,expected,32283
left,reached,32122
left,want,31999
left,looking,31788
left,done,31219
left,working,29590
left,turned,28714
left,continued,28710
left,increased,28479
left,lost,28402
left,reported,28247
left,passed,27711
left,slave,27638
left,trying,27567
left,strengthening,27560
left,produce,27470
left,killed,27158
left,prepared,26998
left,running,26899
left,agreed,26595
left,uprising,26411
left,learned,26305
left,worked,26294
left,mean,26168
left,owned,26155
left,forced,25919
left,employed,25717
left,expect,25633
left,required,25559
left,brought,25397
left,recognized,25302
left,hope,24898
left,building,24875
left,understand,24709
left,convinced,24646
left,trained,24581
left,remember,24569
left,served,24551
left,moving,24215
left,lived,24014
left,kremlin,23937
left,followed,23722
left,gave,23721
left,become,23177
left,saved,22856
left,carry,22812
left,added,22481
left,written,22342
left,accepted,22254
left,armed,22223
left,defined,22155
left,hold,22155
left,coming,22024
left,look,21921
left,lay,21877
left,regarded,21847
left,allied,21588
left,turn,21536
left,became,21421
left,anti,21248
left,understanding,21079
left,warned,21032
left,feel,20611
left,wasted,20465
left,run,20290
left,answered,20254
left,nt,20096
left,making,19927
left,remains,19904
left,surprised,19858
left,equipped,19841
left,talking,19791
left,skilled,19689
left,headed,19653
left,meaning,19644
left,guaranteed,19644
left,grew,19605
left,le,19585
left,appeared,19584
left,happened,19523
left,gone,19348
left,evening,19292
left,spoke,19176
left,concluded,19171
left,established,19168
left,increasing,19167
left,tell,19157
left,getting,19092
left,mvd,19074
left,provide,19049
left,devoted,18886
left,pointed,18619
left,destroyed,18617
left,sat,18608
left,organized,18548
left,burned,18513
left,scared,18404
left,thinking,18296
left,permitted,18226
left,refused,17756
left,occurred,17687
left,beginning,17684
left,liberated,17570
left,created,17556
left,directed,17529
left,intended,17441
left,granted,17432
left,rising,17422
written,know,16965
left,provided,16934
left,conquered,16895
left,raise,16800
left,developed,16516
left,failed,16461
left,shipped,16437
left,covering,16426
left,covered,16392
left,finished,16297
left,thousand,16277
left,ruling,16180
left,frightened,16157
left,compared,16119
left,examined,16116
left,keeping,16064
left,tried,16023
left,returned,16004
left,operates,15895
left,concerned,15737
left,included,15707
left,continue,15680
left,let,15485
left,loaded,15427
left,supposed,15372
left,exploited,15227
left,observed,15207
left,needed,15202
left,decided,15171
left,leading,15171
left,drew,14958
left,string,14817
left,replied,14764
left,assumed,14733
left,abolished,14559
left,issued,14559
left,dominated,14448
left,determined,14423
left,listened,14384
left,leave,14338
left,give,14223
left,doomed,14221
left,bring,14140
left,visited,14139
left,walked,13948
left,expressed,13909
left,stepped,13803
left,listening,13667
left,recognize,13640
left,acted,13553
left,acquired,13476
left,bringing,13442
left,united,13416
left,looked,13318
left,died,13317
left,scholen,13314
left,build,13195
left,rolling,13167
left,need,13151
left,reaching,13132
left,occupied,13026
left,check,13001
left,proved,13001
left,tend,13001
left,remain,12928
left,begun,12888
left,accomplished,12859
left,complicated,12807
left,proposed,12807
left,abandoned,12693
left,crushed,12691
left,controlling,12691
left,speaking,12681
left,leaving,12558
left,changed,12502
left,becoming,12472
left,captured,12445
left,translated,12335
left,blamed,12333
left,please,12333
left,interpreted,12333
left,estimated,12294
left,gassed,12279
left,maidanek,12279
left,caused,12248
left,exiled,12218
left,broke,12217
left,selected,12185
left,signed,12183
left,belonging,12183
left,laid,12183
left,stalin,12134
left,surrounded,12113
left,live,12111
left,army,12055
left,realize,12049
left,expanding,12048
left,realized,12029
left,consider,12028
left,placed,12024
left,checked,12023
left,noted,12023
left,toasted,12001
left,confirmed,11890
left,handed,11873
left,suggested,11839
left,developing,11781
left,reflects,11779
left,allowed,11726
left,suffered,11714
left,misgiving,11713
left,adopted,11614
left,controlled,11518
left,ordered,11516
left,dressed,11484
left,remove,11360
left,resulting,11357
left,remained,11270
left,presented,11269
left,prevailed,11269
left,filled,11224
left,remaining,11214
left,answer,11210
left,imposed,11205
left,dominating,11205
left,carrying,11159
left,moscow,11117
left,heard,11084
left,showed,11055
left,taking,10961
left,naked,10936
left,trusted,10936
left,paying,10867
left,rejected,10850
left,flew,10826
left,paved,10721
left,piled,10651
left,disappeared,10651
left,demobilized,10606
left,involved,10601
left,succeed,10601
left,interrupted,10488
left,charged,10451
left,succeeded,10431
left,exhausted,10392
left,antonescu,10357
left,encouraged,10293
left,stayed,10286
left,removed,10203
left,slight,10158
left,restored,10128
left,based,10071
left,enjoyed,10071
left,offered,10049
left,stand,10017
left,helped,9890
left,considered,9858
left,sold,9857
left,appears,9838
left,happens,9824
left,stressing,9822
left,approved,9822
left,forming,9822
left,implied,9822
left,donbas,9822
left,nkvd,9822
left,demonstrated,9822
left,derived,9822
left,passing,9822
left,be,9822
left,converted,9783
left,existed,9761
left,mobilized,9737
left,use,9623
left,laying,9623
left,supplied,9609
left,provides,9609
left,managed,9564
left,ministry,9537
left,politburo,9537
left,attached,9512
left,jeep,9512
left,razed,9512
left,voted,9512
left,obeying,9512
left,'ve,9463
left,standing,9435
left,end,9379
left,maintained,9351
left,attempted,9349
left,knowing,9253
left,begin,9253
left,completed,9229
left,formed,9192
left,develop,9168
left,return,9118
left,born,9062
left,fell,9004
left,studied,9004
left,continues,9004
left,sense,8951
left,appear,8943
left,revealed,8911
leading,said,8889
left,reduce,8870
left,rented,8869
left,credited,8869
left,preparing,8837
left,using,8810
left,moved,8791
left,kill,8780
left,accompanied,8776
left,saving,8764
left,achieved,8747
left,send,8716
left,designed,8699
left,crippled,8694
left,sweeping,8694
left,fixed,8694
left,hanged,8694
left,colored,8671
left,waiting,8602
left,child,8562
left,forget,8561
left,reporting,8561
written,think,8545
left,fled,8531
left,warsaw,8531
left,feeling,8528
left,supported,8478
left,referred,8435
left,published,8418
left,mentioned,8413
left,try,8387
left,fight,8339
left,explaining,8339
left,control,8339
left,raised,8339
left,red,8278
left,buried,8256
left,lacking,8218
left,work,8193
left,instructed,8186
left,lend,8164
left,spent,8151
left,pay,8126
left,driven,8099
left,investigating,8092
left,judging,8090
left,cobbled,8090
left,acknowledged,8090
left,aimed,8090
left,observing,8090
left,demanded,8090
left,dared,8090
left,listed,8090
left,considering,8090
left,discussed,8090
left,disciplined,8090
left,farmer,8090
left,handled,8090
left,sought,8090
left,picked,8062
left,entered,8029
left,astonishing,8029
left,rose,8029
left,extended,7998
left,entitled,7949
left,posted,7780
left,interned,7780
left,win,7780
left,aspect,7780
left,seeing,7770
left,rooted,7701
written,said,7680
left,voting,7671
left,play,7671
left,wondered,7648
left,introduced,7647
left,lined,7639
left,wearing,7629
left,hung,7617
left,resigned,7617
left,shed,7617
left,stocking,7595
left,purged,7533
left,study,7533
left,planted,7521
left,threatened,7521
left,losing,7521
left,lie,7447
left,described,7424
left,functioning,7422
left,prove,7422
left,exchanged,7422
left,driving,7422
left,defeated,7361
left,embarrassed,7361
left,taught,7273
left,belgrade,7272
left,starved,7272
left,tea,7272
left,refuse,7272
left,suppressed,7238
left,east,7238
left,save,7209
left,recalled,7198
left,started,7172
left,protected,7112
left,purge,7112
left,ran,7112
left,caught,7112
left,shortcoming,7112
left,playing,7105
written,read,7100
left,tested,7093
left,prefer,7056
left,delayed,6979
left,pressed,6979
left,educate,6979
left,head,6949
left,quitting,6868
left,devised,6868
left,start,6868
left,pledged,6868
left,listen,6868
left,inspected,6807
written,saw,6778
left,defending,6674
left,help,6647
left,pouring,6647
left,earth,6645
left,giving,6645
left,happening,6645
left,height,6644
left,depends,6608
left,respected,6604
left,destroying,6604
left,confronted,6604
left,conferred,6570
left,pulled,6560
left,poured,6558
left,stretched,6558
left,borrowed,6510
left,purpose,6431
left,aim,6430
left,patched,6430
left,assigned,6430
left,riding,6395
left,reflected,6360
left,surrendered,6359
left,tracking,6358
left,enforcing,6358
left,china,6358
left,studded,6358
left,commanded,6358
left,emphasized,6358
left,connecting,6358
left,retired,6358
left,siberia,6358
left,dismantled,6358
left,meant,6358
left,requires,6358
left,inspired,6358
left,botosani,6358
left,lifted,6358
left,lumbering,6358
left,achieve,6299
left,marked,6299
left,tackled,6299
left,hoped,6299
left,raging,6299
left,add,6238
leading,told,6223
left,noticed,6205
left,educated,6188
left,indicated,6172
written,told,6172
left,amazed,6156
left,striped,6120
left,edged,6120
left,polished,6120
left,declared,6075
left,stated,6075
left,scattered,6050
written,say,6000
written,want,5947
left,returning,5939
left,concentrated,5939
left,liked,5926
left,wrote,5907
left,bought,5898
left,promise,5827
left,fed,5827
left,performed,5827
left,launched,5826
left,buy,5798
left,require,5690
left,planned,5690
left,assured,5690
left,incorporated,5690
left,devastated,5690
left,tightening,5690
left,collectivized,5690
left,existing,5690
left,grave,5690
left,providing,5690
left,cost,5690
left,fulfilled,5690
left,rendered,5690
left,march,5690
left,visiting,5690
left,informed,5690
left,asserted,5690
left,producing,5649
left,woolen,5612
left,picking,5612
left,reminded,5551
left,becomes,5520
left,sell,5519
left,stopped,5459
left,accused,5409
left,wicked,5409
left,reinforced,5385
left,america,5338
leading,seemed,5318
left,barred,5271
left,believed,5271
left,hang,5271
left,contained,5271
left,saying,5162
left,shown,5160
left,guided,5160
left,behaving,5160
left,prevented,5160
left,shaken,5160
left,representing,5160
left,complained,5160
left,settle,5160
left,invented,5160
left,conditioned,5160
left,guiding,5160
left,growing,5160
left,seeking,5160
left,illustrated,5160
left,concerning,5160
left,dropping,5160
left,include,5160
left,contain,5160
left,realizing,5160
left,putting,5137
left,awarded,5136
left,stimulating,5136
left,composed,5136
left,forgotten,5099
left,tinned,5099
left,affected,5022
left,depend,5022
left,attaining,5022
left,suggesting,5022
left,learn,5022
left,freezing,4995
left,talk,4966
left,starving,4949
left,felt,4947
written,take,4935
left,identified,4913
left,doubt,4913
left,eyed,4913
left,gain,4913
left,discarded,4913
left,stripped,4913
left,lose,4913
left,determining,4912
left,wired,4911
left,chungking,4911
left,repudiate,4911
left,kai,4911
left,exchanging,4911
left,experienced,4911
left,till,4911
left,celebrated,4911
left,riddle,4911
left,thorny,4911
left,writing,4911
left,misinterpreted,4911
left,bolshevize,4911
left,ensued,4911
left,sober,4911
left,intoned,4911
left,withering,4911
left,introduce,4911
left,corresponding,4911
left,industrializing,4911
left,dying,4911
left,imperialist,4911
left,socialist,4911
left,rear,4911
left,conflict,4911
left,inflicted,4911
left,examining,4911
left,endured,4911
left,illustrates,4911
left,prophesied,4911
left,addressed,4911
left,menacing,4911
left,attributing,4911
left,obligated,4911
left,smoke,4911
left,conducting,4911
left,form,4911
left,shipping,4911
left,thrown,4911
left,context,4911
left,sanctioned,4911
left,attempt,4911
left,revoke,4911
left,alexander,4911
left,underwriting,4911
left,desired,4911
left,rend,4911
left,overlooked,4911
left,abandoning,4911
left,support,4911
left,sumed,4911
left,originates,4911
left,differed,4911
left,deceived,4911
left,jimmy,4911
left,loving,4911
left,associate,4911
left,webster,4911
left,afflicted,4911
left,wrecking,4911
left,elaborate,4911
left,sending,4911
left,revered,4911
left,quisling,4911
left,pampering,4911
left,tied,4911
left,advocate,4911
left,packaged,4911
left,rely,4911
left,refer,4911
left,mind,4911
left,train,4911
left,enjoys,4911
left,kitchen,4911
left,lasting,4911
left,police,4911
left,belated,4911
left,os,4911
left,affect,4911
left,clogged,4911
left,disrupted,4911
left,hearing,4911
left,acclaimed,4911
left,unsuspecting,4911
left,evaporated,4911
left,blocking,4911
left,halting,4911
left,disgruntled,4911
left,disposed,4911
left,founded,4911
left,denounced,4911
left,challenging,4911
left,maintaining,4911
left,blew,4911
left,bogged,4911
left,opposed,4911
left,superimposed,4911
left,snow,4911
left,delivered,4911
left,repaired,4911
left,leased,4911
left,clamping,4911
left,fail,4911
left,duplicated,4911
left,crippling,4911
left,heaped,4911
left,crowd,4911
