word1,word2,freq
american,war,1797308
american,united,951720
american,soviet,843074
american,world,834077
american,japanese,776142
american,states,764077
american,peace,612888
american,nations,610901
american,russia,533448
american,government,502150
american,mr,500610
american,us,447718
american,europe,424152
american,president,398310
american,china,391402
american,general,382776
american,union,381762
american,even,379149
american,far,378046
american,time,366446
american,japan,365901
american,great,355880
american,economic,350069
american,people,347946
american,molotov,341616
american,military,338643
american,made,336513
american,years,323406
american,said,312993
american,forces,293685
american,first,278286
american,commission,277521
american,free,273449
american,russian,265379
american,strength,259216
american,well,256228
american,surrender,255617
american,men,252392
american,many,249195
american,political,246872
american,trusteeship,245889
american,foreign,235577
american,program,231743
american,every,230206
american,proposal,221060
american,stalin,220342
american,army,220043
american,make,219679
american,council,219235
american,agreement,219054
american,today,214731
american,nation,209521
american,new,208930
american,national,208278
american,power,207111
american,toward,206735
american,present,205068
american,way,203301
american,atomic,201020
american,three,198262
american,policy,198217
american,moscow,197315
american,cost,195659
american,country,195627
american,air,194117
american,another,193161
american,european,190422
american,still,187684
american,representative,187456
american,countries,183767
american,come,182913
american,times,179724
american,force,179577
american,treaty,178452
american,action,177702
american,necessary,172888
american,costs,170803
american,million,168872
american,troops,168324
american,marshall,167952
american,day,167518
american,germany,166501
american,terms,161341
american,conflict,160828
american,recovery,158343
american,bomb,158061
american,later,155617
american,means,155117
american,effort,154683
american,conference,154374
american,western,153542
american,use,153388
american,bombing,152117
american,like,150715
american,course,150607
american,russians,150525
american,help,150312
american,major,150273
american,freedom,149390
american,possible,149214
american,least,149174
american,communist,148601
american,support,146945
american,armed,146002
american,congress,145205
american,declaration,144978
american,without,144821
american,agreed,143848
american,destruction,142490
american,five,142050
american,since,141105
american,part,139986
american,future,139930
american,become,139637
american,security,137793
american,shall,136865
american,question,136642
american,remain,135790
american,want,135767
american,difficult,134437
american,end,133957
american,long,133068
american,state,132807
american,eastern,132608
american,certain,131699
american,result,131286
american,international,130697
american,however,129586
american,situation,128450
american,unitedstates,128394
american,navy,128250
american,work,128078
american,governments,126957
american,members,126763
american,meeting,125900
american,control,123163
american,fear,122364
american,unless,120708
american,believe,120228
american,message,120094
american,charter,119062
american,preventive,117409
american,statement,117289
american,weakness,117004
american,clear,116795
american,area,116784
american,democratic,116453
american,chinese,115529
american,take,115419
american,let,113937
american,though,113535
american,lost,112858
american,year,112534
american,plan,112352
american,human,112349
american,theunited,110509
american,told,109994
american,know,109520
american,powers,109223
american,back,108697
american,andthe,108336
american,fact,108323
american,see,107865
american,together,107787
american,give,105520
american,islands,105245
american,secretary,105197
american,task,105090
american,yet,104821
american,erp,104651
american,history,103797
american,allies,103520
american,total,103385
american,final,103108
american,changes,102964
american,left,102796
american,thesoviet,102783
american,set,102754
american,order,102612
american,efforts,102256
american,maintain,102016
american,establishment,101735
american,hope,100728
american,conditions,100688
american,came,100569
american,joint,100524
american,training,100383
american,december,100322
american,potsdam,100291
american,wanted,99417
american,asked,98861
american,manchuria,98235
american,place,97751
american,importance,96975
american,within,96796
american,americans,96590
american,whole,96590
american,keep,96564
american,system,95931
american,powerful,94254
american,north,93596
american,always,93493
american,dollars,93138
american,man,92227
american,right,92140
american,expressed,91767
american,position,91671
american,interest,91245
american,past,91224
american,find,91040
american,critical,90723
american,ambassador,90512
american,inthe,90478
american,four,90392
american,half,89734
american,established,89501
american,act,89205
american,little,89141
american,ability,89038
american,accepted,88993
american,whether,88507
american,based,88420
american,service,88005
american,ministers,87946
american,change,87789
american,easy,86901
american,factories,86097
american,purpose,85948
american,prepared,85731
american,bring,85577
american,koreans,85486
american,railroads,85419
american,red,85358
american,industrial,85328
american,industry,84825
american,held,84751
american,different,84365
american,best,83879
american,added,83645
american,fighting,83318
american,learned,83263
american,weeks,83194
american,party,83111
american,victory,82797
american,korea,82784
american,probably,82449
american,damage,81884
american,britain,81708
american,wouldbe,81569
american,indeed,81530
american,taking,81439
american,promise,81340
american,presented,80950
american,west,80847
american,transportation,80836
american,august,80794
american,continue,80749
american,east,80514
american,trying,80356
american,enough,80352
american,destroy,80335
american,think,80307
american,strong,79921
american,british,79695
american,sent,79690
american,reparations,79469
american,done,78709
american,either,78080
american,basis,77975
american,london,77958
american,allied,77626
american,mean,77249
american,authorized,77192
american,ideological,77177
american,ten,76143
american,among,75767
american,soon,75464
american,experience,75218
american,last,75094
american,unity,74391
american,days,74367
american,number,74338
american,assume,74304
american,draft,74056
american,immediate,74026
american,thought,74006
american,next,73861
american,raids,73539
american,better,73434
american,almost,73028
american,death,72989
american,able,72903
american,price,72795
american,highly,72717
american,accept,72504
american,full,71850
american,planes,71554
american,universal,71117
american,get,70895
american,thatthe,70715
american,attack,70567
american,reconstruction,70532
american,areas,70469
american,called,70217
american,occupation,69908
american,social,69904
american,vital,69641
american,near,69507
american,ships,69352
american,life,69285
american,seek,69178
american,mind,69125
american,obligations,68912
american,say,68819
american,recommend,68759
american,difficulties,68646
american,issue,68602
american,economy,68347
american,making,67907
american,affairs,67717
american,prisoners,67426
american,immediately,67401
american,sense,67362
american,measures,66733
american,yalta,66174
american,macarthur,66167
american,armies,66127
american,important,66000
american,carry,65991
american,asia,65696
american,approved,65434
american,likely,64975
american,reasons,64829
american,existence,64631
american,working,64555
american,possess,64494
american,soviets,64469
american,never,64456
american,quick,64451
american,approval,64358
american,letter,64311
american,met,64303
american,houses,64268
american,bombardment,64268
american,civilians,64268
american,ever,64006
american,essential,63946
american,taken,63940
american,instance,63750
american,used,63738
american,good,63696
american,pointed,63585
american,chinas,63246
american,less,63116
american,material,62765
american,period,62739
american,probable,62738
american,became,62638
american,return,62589
american,desire,62373
american,office,62146
american,early,62112
american,factor,62035
american,kingdom,61837
american,entire,61563
american,theworld,61448
american,special,61215
american,shooting,61213
american,proposed,61069
american,supported,60995
american,go,60934
american,internal,60923
american,questions,60884
american,losses,60870
american,iii,60870
american,concerned,60718
american,tokyo,60639
american,advisory,60639
american,including,60633
american,quite,60562
american,asking,60454
american,restore,60404
american,points,60348
american,opportunity,60158
american,minister,60041
american,sea,60036
american,brought,59946
american,beyond,59864
american,idea,59770
american,request,59742
american,aggression,59707
american,communism,59691
american,leaders,59509
american,second,59403
american,directly,59226
american,continued,59180
american,threat,58904
american,progress,58847
american,communists,58836
american,development,58793
american,meet,58785
american,selective,58780
american,operations,58739
american,defeat,58599
american,russias,58564
american,veto,58532
american,explained,58330
american,secure,58200
american,generalissimo,58125
american,began,58096
american,washington,58051
american,harriman,57919
american,commander,57729
american,ground,57499
american,various,57474
american,limited,57470
american,particularly,57427
american,south,57179
american,step,57152
american,pay,57030
american,production,56921
american,surface,56868
american,seemed,56742
american,concerning,56709
american,put,56464
american,aid,56342
american,already,56340
american,strategic,56328
american,authority,56309
american,seven,56253
american,responsibility,55970
american,replied,55919
american,prepare,55915
american,chiang,55865
american,vast,55838
american,carried,55538
american,representatives,55531
american,truman,55491
american,revolution,55485
american,talk,55183
american,destroyed,55108
american,bevin,55094
american,primarily,55005
american,independence,55001
american,settlement,54931
american,neither,54571
american,becoming,54394
american,felt,54364
american,responsibilities,54333
american,effective,54284
american,record,54259
american,merely,54194
american,decline,54172
american,basic,54147
american,rehabilitation,54101
american,targets,54074
american,things,53983
american,independent,53978
american,giving,53801
american,problems,53606
american,land,53494
american,individual,53355
american,nature,53304
american,ready,53257
american,differences,53245
american,hand,53236
american,require,53056
american,figures,52992
american,achieve,52925
american,permit,52894
american,fall,52887
american,included,52847
american,naval,52825
american,worlds,52800
american,kinds,52791
american,grand,52791
american,add,52745
american,stop,52681
american,definite,52667
american,operate,52581
american,reached,52527
american,turned,52383
american,bases,52235
american,prevent,52071
american,europes,51930
american,behind,51911
american,given,51857
american,generation,51774
american,rest,51682
american,knew,51586
american,declared,51563
american,gamble,51523
american,condition,51469
american,join,51262
american,night,51253
american,placed,51238
american,views,51137
american,forthe,50868
american,france,50859
american,intended,50848
american,lack,50838
american,lines,50704
american,liberalism,50604
american,stated,50575
american,available,50569
american,inevitably,50565
american,point,50518
american,opposed,50350
american,determined,50256
american,balance,50217
american,interests,50206
american,received,50156
american,inevitable,50090
american,others,49990
american,influence,49887
american,friendly,49738
american,house,49649
american,protect,49647
american,unconditional,49550
united,war,49420
american,discussions,49177
american,middle,49080
american,regard,49080
american,law,49064
american,dangerous,49063
american,requires,49023
american,cooperation,48966
american,moreover,48665
american,attempt,48613
american,growing,48542
american,example,48502
american,equipment,48472
american,fell,48201
american,homeless,48201
american,deaths,48201
american,systems,48082
american,molotovs,48026
american,close,47933
american,found,47912
american,thing,47893
american,seems,47864
american,view,47819
american,common,47543
american,face,47255
american,supply,47200
american,localized,47041
american,settle,47022
american,movement,46838
american,sore,46832
american,principal,46829
american,enemy,46808
american,signing,46781
american,depression,46623
american,withdrawal,46490
american,represent,46456
american,assistance,46404
american,line,46329
american,programs,46309
american,warthe,46282
american,civilization,46244
american,japans,46177
american,spots,46043
american,liberal,45997
american,arrangement,45965
american,closed,45920
american,phase,45917
american,imminent,45910
american,incident,45672
american,blow,45650
american,increasing,45583
american,plants,45540
american,regular,45457
american,additional,45298
american,assured,45260
american,decide,45260
american,similar,45239
american,supplies,45231
american,doubt,45187
american,paris,45071
american,twothirds,45016
american,smaller,44966
american,mutual,44956
american,certainly,44949
american,include,44840
american,cities,44803
american,known,44661
american,zone,44548
american,described,44522
american,trained,44507
american,appeasement,44464
american,judgment,44413
american,leave,44386
american,thiswould,44327
american,hands,44289
american,thousands,44257
american,july,44123
american,divisions,44109
american,submitted,44108
american,women,44025
american,protracted,43969
american,harbor,43773
american,pearl,43773
american,sound,43666
american,real,43666
american,defense,43616
american,sovietamerican,43596
american,events,43534
american,equally,43457
american,regarded,43374
american,agreements,43156
american,outcome,43135
american,minds,43099
american,tremendous,43050
american,finally,42999
american,sure,42879
american,border,42812
american,sign,42710
american,according,42694
american,decision,42500
american,public,42458
american,date,42345
american,emperor,42314
american,shouldbe,42309
american,agree,42300
american,suggested,42253
american,europethe,42252
american,nothing,42252
american,disaster,42252
american,alone,42252
american,true,42003
american,proportion,41977
american,case,41970
american,weapons,41965
american,figure,41845
american,civil,41770
american,foundation,41727
american,honorable,41727
american,thinking,41727
