,Word,Degree Centrality,Word,Closeness Centrality,Word,Betweenness Centrality,Word,Eigenvector Centrality
0,world,0.9473684210526315,world,0.8636363636363636,world,0.09804857260997608,world,0.33101529183134865
1,president,0.8421052631578947,president,0.7916666666666666,policy,0.06279123735264086,president,0.3112510998574911
2,policy,0.8421052631578947,policy,0.7916666666666666,year,0.05736099508029332,policy,0.2998992660430242
3,state,0.7894736842105263,state,0.76,america,0.05401255664413559,state,0.2946668499878993
4,year,0.7894736842105263,year,0.76,state,0.05300076791304861,year,0.28176281339629355
5,soviet,0.7368421052631579,soviet,0.7307692307692307,president,0.051520214678109424,war,0.2658604526139494
6,war,0.6842105263157894,power,0.7307692307692307,soviet,0.047113364218627364,soviet,0.25802764729940314
7,power,0.631578947368421,war,0.7037037037037037,power,0.042701872526433926,country,0.2570855362609795
8,country,0.631578947368421,america,0.7037037037037037,decision,0.03356792655038269,power,0.2420901998165642
9,statement,0.5789473684210527,mr,0.6785714285714286,mr,0.02065833776360092,mr,0.21672931098430215
