,Word,Degree Centrality,Word,Closeness Centrality,Word,Betweenness Centrality,Word,Eigenvector Centrality
0,소련,0.7894736842105263,미국,0.7307692307692307,소련,0.3018872939925572,소련,0.3951370301320916
1,미국,0.7368421052631579,소련,0.7307692307692307,미국,0.2776182881446039,미국,0.37594697028683927
2,세계,0.5263157894736842,세계,0.6785714285714286,세계,0.09715576820839976,세계,0.32297931519711953
3,전쟁,0.47368421052631576,전쟁,0.6551724137931034,전쟁,0.055688463583200426,전쟁,0.31396888703486825
4,국민,0.47368421052631576,국민,0.6129032258064516,국민,0.035707956760588334,국민,0.29378623117671887
5,말하,0.42105263157894735,말하,0.59375,국가,0.02992202729044834,말하,0.2771708898521938
6,국가,0.42105263157894735,국가,0.59375,원자,0.026501860712387023,국가,0.2259002783695269
7,원자,0.3157894736842105,그러,0.5757575757575758,말하,0.01432748538011696,원자,0.19945076300510653
8,그러,0.2631578947368421,안전,0.5757575757575758,그러,0.013441431862484492,그러,0.19833564024903108
9,안전,0.2631578947368421,원자,0.5588235294117647,공산,0.012759170653907494,안전,0.1967775188553204
