,Word,Degree Centrality,Word,Closeness Centrality,Word,Betweenness Centrality,Word,Eigenvector Centrality
0,미국,0.8421052631578947,미국,0.8636363636363636,미국,0.3991228070175438,미국,0.4363262196862968
1,소련,0.7894736842105263,소련,0.76,소련,0.35399610136452236,소련,0.41992720977299314
2,원자,0.42105263157894735,원자,0.6333333333333333,원자,0.04483430799220272,원자,0.27929030408254185
3,세계,0.42105263157894735,전쟁,0.6129032258064516,전쟁,0.021734892787524367,세계,0.2760313592887862
4,국민,0.42105263157894735,문제,0.6129032258064516,점령,0.021442495126705645,전쟁,0.2729546834673526
5,점령,0.3684210526315789,세계,0.59375,문제,0.019785575048732944,국민,0.27210980102523985
6,전쟁,0.3684210526315789,국민,0.59375,국가,0.01949317738791423,문제,0.2692485661073345
7,국가,0.3684210526315789,점령,0.5757575757575758,세계,0.0182261208576998,점령,0.21675787188458057
8,문제,0.3684210526315789,국가,0.5757575757575758,국민,0.0158869395711501,국가,0.2097906717165175
9,외교,0.2631578947368421,필요,0.5588235294117647,외교,0.004093567251461988,외교,0.20396794657728293
