,Word,Degree Centrality,Word,Closeness Centrality,Word,Betweenness Centrality,Word,Eigenvector Centrality
0,general,0.4482758620689655,japanese,0.5576923076923077,japanese,0.2560402583185834,general,0.41801607994757933
1,korean,0.3793103448275862,general,0.5370370370370371,korean,0.20339842833685196,korean,0.36189677725157654
2,japanese,0.3448275862068966,korean,0.5272727272727272,general,0.1888018112156043,common,0.2924016278058447
3,old,0.3103448275862069,common,0.5,old,0.10335400095252312,japanese,0.2831875563906686
4,high,0.27586206896551724,old,0.4915254237288136,public,0.09821748448595735,provincial,0.2666483080530359
5,south,0.27586206896551724,high,0.48333333333333334,north,0.09725385451986439,high,0.2641579874061503
6,public,0.27586206896551724,north,0.47540983606557374,cattle,0.06715554560382146,old,0.25835936698700035
7,common,0.24137931034482757,public,0.47540983606557374,reinanro,0.06092327213016869,central,0.21955185077520378
8,provincial,0.24137931034482757,great,0.4603174603174603,central,0.058435960591133,public,0.20098949075276165
9,normal,0.20689655172413793,south,0.453125,high,0.05215810462115881,south,0.20047506329651368
