,Word,Degree Centrality,Word,Closeness Centrality,Word,Betweenness Centrality,Word,Eigenvector Centrality
0,well,0.24137931034482757,well,0.3493975903614458,well,0.38522167487684733,well,0.4567784179859503
1,nearly,0.13793103448275862,yen,0.3333333333333333,still,0.22582101806239738,yearly,0.32288794407509325
2,yearly,0.13793103448275862,still,0.3258426966292135,regularly,0.21288998357963876,respectively,0.320324531362491
3,yen,0.13793103448275862,lately,0.3258426966292135,nearly,0.21108374384236453,yen,0.3028691426451458
4,still,0.10344827586206896,regularly,0.3258426966292135,lately,0.18054187192118223,abroad,0.243328983498088
5,originally,0.10344827586206896,yearly,0.32222222222222224,yen,0.16958128078817736,south,0.23728406231679042
6,thus,0.10344827586206896,respectively,0.32222222222222224,thus,0.167816091954023,nearly,0.2222415715807177
7,south,0.10344827586206896,nearly,0.30526315789473685,originally,0.16769293924466339,lately,0.2174003708402499
8,lately,0.10344827586206896,thus,0.29591836734693877,yearly,0.14002463054187192,regularly,0.18482407617556632
9,regularly,0.10344827586206896,entirely,0.29292929292929293,respectively,0.12750410509031196,recently,0.18436988682784447
