Topics,Alpha,Eta,Coherence
1,0.01,0.01,0.2644252843323081
1,0.01,0.21000000000000002,0.2644252843323081
1,0.01,0.41000000000000003,0.2644252843323081
1,0.01,0.6100000000000001,0.2644252843323081
1,0.01,0.81,0.2644252843323081
1,0.21000000000000002,0.01,0.2644252843323081
1,0.21000000000000002,0.21000000000000002,0.2644252843323081
1,0.21000000000000002,0.41000000000000003,0.2644252843323081
1,0.21000000000000002,0.6100000000000001,0.2644252843323081
1,0.21000000000000002,0.81,0.2644252843323081
1,0.41000000000000003,0.01,0.2644252843323081
1,0.41000000000000003,0.21000000000000002,0.2644252843323081
1,0.41000000000000003,0.41000000000000003,0.2644252843323081
1,0.41000000000000003,0.6100000000000001,0.2644252843323081
1,0.41000000000000003,0.81,0.2644252843323081
1,0.6100000000000001,0.01,0.2644252843323081
1,0.6100000000000001,0.21000000000000002,0.2644252843323081
1,0.6100000000000001,0.41000000000000003,0.2644252843323081
1,0.6100000000000001,0.6100000000000001,0.2644252843323081
1,0.6100000000000001,0.81,0.2644252843323081
1,0.81,0.01,0.2644252843323081
1,0.81,0.21000000000000002,0.2644252843323081
1,0.81,0.41000000000000003,0.2644252843323081
1,0.81,0.6100000000000001,0.2644252843323081
1,0.81,0.81,0.2644252843323081
2,0.01,0.01,0.25513303410477717
2,0.01,0.21000000000000002,0.2618958036554151
2,0.01,0.41000000000000003,0.2675403696379889
2,0.01,0.6100000000000001,0.2675403696379889
2,0.01,0.81,0.2675403696379889
2,0.21000000000000002,0.01,0.25513303410477717
2,0.21000000000000002,0.21000000000000002,0.2618958036554151
2,0.21000000000000002,0.41000000000000003,0.2675403696379889
2,0.21000000000000002,0.6100000000000001,0.2675403696379889
2,0.21000000000000002,0.81,0.2675403696379889
2,0.41000000000000003,0.01,0.25513303410477717
2,0.41000000000000003,0.21000000000000002,0.2618958036554151
2,0.41000000000000003,0.41000000000000003,0.2675403696379889
2,0.41000000000000003,0.6100000000000001,0.2675403696379889
2,0.41000000000000003,0.81,0.2675403696379889
2,0.6100000000000001,0.01,0.25513303410477717
2,0.6100000000000001,0.21000000000000002,0.2618958036554151
2,0.6100000000000001,0.41000000000000003,0.2675403696379889
2,0.6100000000000001,0.6100000000000001,0.2675403696379889
2,0.6100000000000001,0.81,0.2675403696379889
2,0.81,0.01,0.25513303410477717
2,0.81,0.21000000000000002,0.2618958036554151
2,0.81,0.41000000000000003,0.2675403696379889
2,0.81,0.6100000000000001,0.2675403696379889
2,0.81,0.81,0.2675403696379889
3,0.01,0.01,0.2619290700976879
3,0.01,0.21000000000000002,0.27048256898916784
3,0.01,0.41000000000000003,0.27272223818017477
3,0.01,0.6100000000000001,0.27159871216522685
3,0.01,0.81,0.27159871216522685
3,0.21000000000000002,0.01,0.2619290700976879
3,0.21000000000000002,0.21000000000000002,0.27048256898916784
3,0.21000000000000002,0.41000000000000003,0.27272223818017477
3,0.21000000000000002,0.6100000000000001,0.27159871216522685
3,0.21000000000000002,0.81,0.27159871216522685
3,0.41000000000000003,0.01,0.2619290700976879
3,0.41000000000000003,0.21000000000000002,0.27048256898916784
3,0.41000000000000003,0.41000000000000003,0.27272223818017477
3,0.41000000000000003,0.6100000000000001,0.27159871216522685
3,0.41000000000000003,0.81,0.27159871216522685
3,0.6100000000000001,0.01,0.2619290700976879
3,0.6100000000000001,0.21000000000000002,0.27048256898916784
3,0.6100000000000001,0.41000000000000003,0.27272223818017477
3,0.6100000000000001,0.6100000000000001,0.27159871216522685
3,0.6100000000000001,0.81,0.27159871216522685
3,0.81,0.01,0.2619290700976879
3,0.81,0.21000000000000002,0.27048256898916784
3,0.81,0.41000000000000003,0.27272223818017477
3,0.81,0.6100000000000001,0.27159871216522685
3,0.81,0.81,0.27159871216522685
4,0.01,0.01,0.266774970289191
4,0.01,0.21000000000000002,0.26677497028919106
4,0.01,0.41000000000000003,0.2693703707822518
4,0.01,0.6100000000000001,0.26847261991166915
4,0.01,0.81,0.26975184820438436
4,0.21000000000000002,0.01,0.266774970289191
4,0.21000000000000002,0.21000000000000002,0.26677497028919106
4,0.21000000000000002,0.41000000000000003,0.2693703707822518
4,0.21000000000000002,0.6100000000000001,0.26847261991166915
4,0.21000000000000002,0.81,0.26975184820438436
4,0.41000000000000003,0.01,0.266774970289191
4,0.41000000000000003,0.21000000000000002,0.26677497028919106
4,0.41000000000000003,0.41000000000000003,0.2693703707822518
4,0.41000000000000003,0.6100000000000001,0.26847261991166915
4,0.41000000000000003,0.81,0.26975184820438436
4,0.6100000000000001,0.01,0.266774970289191
4,0.6100000000000001,0.21000000000000002,0.26677497028919106
4,0.6100000000000001,0.41000000000000003,0.2693703707822518
4,0.6100000000000001,0.6100000000000001,0.26847261991166915
4,0.6100000000000001,0.81,0.26975184820438436
4,0.81,0.01,0.266774970289191
4,0.81,0.21000000000000002,0.26677497028919106
4,0.81,0.41000000000000003,0.2693703707822518
4,0.81,0.6100000000000001,0.26847261991166915
4,0.81,0.81,0.26975184820438436
5,0.01,0.01,0.26518093361539635
5,0.01,0.21000000000000002,0.26832827561259426
5,0.01,0.41000000000000003,0.27080109833766997
5,0.01,0.6100000000000001,0.27581156832926385
5,0.01,0.81,0.2750933676327977
5,0.21000000000000002,0.01,0.26518093361539635
5,0.21000000000000002,0.21000000000000002,0.26832827561259426
5,0.21000000000000002,0.41000000000000003,0.27080109833766997
5,0.21000000000000002,0.6100000000000001,0.27581156832926385
5,0.21000000000000002,0.81,0.2750933676327977
5,0.41000000000000003,0.01,0.26518093361539635
5,0.41000000000000003,0.21000000000000002,0.26832827561259426
5,0.41000000000000003,0.41000000000000003,0.27080109833766997
5,0.41000000000000003,0.6100000000000001,0.27581156832926385
5,0.41000000000000003,0.81,0.2733958693896567
5,0.6100000000000001,0.01,0.26518093361539635
5,0.6100000000000001,0.21000000000000002,0.26832827561259426
5,0.6100000000000001,0.41000000000000003,0.27080109833766997
5,0.6100000000000001,0.6100000000000001,0.27581156832926385
5,0.6100000000000001,0.81,0.2733958693896567
5,0.81,0.01,0.26518093361539635
5,0.81,0.21000000000000002,0.26832827561259426
5,0.81,0.41000000000000003,0.27080109833766997
5,0.81,0.6100000000000001,0.27581156832926385
5,0.81,0.81,0.2733958693896567
6,0.01,0.01,0.2641118851089206
6,0.01,0.21000000000000002,0.26295537063913094
6,0.01,0.41000000000000003,0.2680716133075188
6,0.01,0.6100000000000001,0.27432432212482466
6,0.01,0.81,0.2740295748510441
6,0.21000000000000002,0.01,0.2641118851089206
6,0.21000000000000002,0.21000000000000002,0.26295537063913094
6,0.21000000000000002,0.41000000000000003,0.2680716133075188
6,0.21000000000000002,0.6100000000000001,0.27432432212482466
6,0.21000000000000002,0.81,0.2740295748510441
6,0.41000000000000003,0.01,0.2641118851089206
6,0.41000000000000003,0.21000000000000002,0.26295537063913094
6,0.41000000000000003,0.41000000000000003,0.2680716133075188
6,0.41000000000000003,0.6100000000000001,0.27432432212482466
6,0.41000000000000003,0.81,0.2740295748510441
6,0.6100000000000001,0.01,0.2641118851089206
6,0.6100000000000001,0.21000000000000002,0.26295537063913094
6,0.6100000000000001,0.41000000000000003,0.2680716133075188
6,0.6100000000000001,0.6100000000000001,0.27432432212482466
6,0.6100000000000001,0.81,0.2740295748510441
6,0.81,0.01,0.2641118851089206
6,0.81,0.21000000000000002,0.26295537063913094
6,0.81,0.41000000000000003,0.2680716133075188
