,Word,Degree Centrality,Word,Closeness Centrality,Word,Betweenness Centrality,Word,Eigenvector Centrality
0,keijo,0.3103448275862069,keijo,0.41379310344827586,keijo,0.36720032840722494,government,0.46485769416697414
1,government,0.3103448275862069,government,0.3972413793103448,government,0.2777093596059113,keijo,0.4380788196837924
2,year,0.24137931034482757,school,0.354679802955665,year,0.1683087027914614,school,0.34726559307809907
3,office,0.24137931034482757,office,0.3484573502722323,city,0.15517241379310345,office,0.347195246341188
4,school,0.20689655172413793,branch,0.33664523670368207,court,0.11083743842364532,year,0.2831751727500726
5,court,0.1724137931034483,course,0.3310344827586207,river,0.10837438423645321,branch,0.2475634058457762
6,hall,0.1724137931034483,year,0.3203559510567297,course,0.08620689655172414,course,0.22023419165723263
7,course,0.13793103448275862,hall,0.3103448275862069,office,0.07717569786535305,hall,0.1860344362866848
8,jinsen,0.13793103448275862,city,0.30557029177718836,hall,0.06793924466338261,jinsen,0.1559164909225251
9,cocoon,0.13793103448275862,town,0.30094043887147337,area,0.05665024630541872,town,0.15447020561974265
