topic_id,topic_word,prob
0,choose,0.005498228
0,keijo,0.00534818
0,school,0.0048848665
0,korean,0.0048458255
0,year,0.0033575268
0,government,0.0032332588
0,high,0.0028833433
0,office,0.0026389393
0,general,0.0026152201
0,south,0.00255521
0,japanese,0.0023348376
0,japan,0.0023198316
0,picture,0.0022468183
0,old,0.0022464283
0,public,0.0022223792
0,court,0.0022216905
0,great,0.0021079485
0,city,0.002102926
0,make,0.0020907836
0,situate,0.0020660695
0,part,0.0020494373
0,new,0.002044206
0,view,0.0019958091
0,mile,0.0019671866
0,hospital,0.0019650634
0,area,0.0019152776
0,north,0.0019029517
0,place,0.0018414414
0,temple,0.0018347398
0,town,0.0018119033
1,keijo,0.006513219
1,korean,0.0059412695
1,school,0.005600395
1,year,0.0049599195
1,choose,0.004582556
1,government,0.004120438
1,general,0.0034696124
1,south,0.0028257747
1,part,0.0025136229
1,river,0.002501977
1,north,0.0024936066
1,make,0.002483103
1,old,0.0024637354
1,japan,0.0024207642
1,high,0.0024045978
1,picture,0.002400796
1,mile,0.002396257
1,public,0.0023246526
1,japanese,0.0022832644
1,situate,0.002213297
1,province,0.0022023863
1,build,0.0021677807
1,office,0.0020790435
1,hall,0.0020576103
1,place,0.0020237695
1,court,0.0019947067
1,foot,0.0019339154
1,great,0.0019317892
1,building,0.0018852695
1,company,0.0018694779
2,keijo,0.0041838223
2,school,0.0041665332
2,year,0.0041138637
2,choose,0.004081559
2,government,0.0037703114
2,korean,0.0031634818
2,south,0.0028772943
2,court,0.0023245048
2,situate,0.0022613097
2,new,0.0022403563
2,general,0.0022107346
2,part,0.002164741
2,make,0.0020790128
2,high,0.002038751
2,view,0.0019882577
2,hospital,0.0019251531
2,building,0.0018957517
2,mile,0.0018796225
2,office,0.0018725649
2,branch,0.001864695
2,river,0.0017938884
2,picture,0.0017933246
2,temple,0.0017883005
2,great,0.0017503068
2,japan,0.0017346416
2,open,0.0017305539
2,city,0.0017239919
2,company,0.0017157505
2,foot,0.0016937715
2,hall,0.001679086
3,school,0.0059794565
3,keijo,0.0059415107
3,choose,0.004696565
3,korean,0.0043612067
3,government,0.0041103535
3,year,0.0038118297
3,general,0.003785716
3,part,0.0027786521
3,situate,0.0026488623
3,high,0.0025954437
3,make,0.0025397628
3,court,0.0025164946
3,old,0.0024187597
3,mile,0.0023796917
3,picture,0.0023102735
3,japanese,0.0023027603
3,japan,0.0022761968
3,build,0.0022312428
3,office,0.00220944
3,south,0.002183022
3,new,0.002063524
3,branch,0.0019930517
3,river,0.0019687098
3,public,0.0019441923
3,hall,0.0019349387
3,hospital,0.0019259898
3,great,0.0019251114
3,town,0.0018454822
3,north,0.0018407893
3,view,0.0018231104
4,keijo,0.009894276
4,school,0.007736707
4,choose,0.006961123
4,korean,0.0062146196
4,government,0.0058884905
4,year,0.0056826817
4,south,0.00410682
4,general,0.0038957729
4,japanese,0.003873564
4,japan,0.0037003192
4,office,0.0036856
4,high,0.0033943336
4,building,0.0032836536
4,old,0.003189831
4,part,0.0031634653
4,public,0.0031460975
4,hospital,0.0030889183
4,province,0.0029948894
4,great,0.0028888236
4,make,0.0028639624
4,mile,0.0027434034
4,picture,0.0026485983
4,foot,0.00258372
4,view,0.0025013967
4,temple,0.0024832005
4,court,0.0024635736
4,central,0.0024439592
4,situate,0.0023549644
4,river,0.0023263472
4,build,0.0023227446
