,Word,Degree Centrality,Word,Closeness Centrality,Word,Betweenness Centrality,Word,Eigenvector Centrality
0,choose,0.4482758620689655,choose,0.48333333333333334,choose,0.8087027914614121,choose,0.7076340262036018
1,make,0.13793103448275862,planting,0.3815789473684211,planting,0.2697044334975369,building,0.24175679880063447
2,building,0.13793103448275862,shingishu,0.3717948717948718,shingishu,0.2697044334975369,planting,0.23963481988119134
3,kunsan,0.10344827586206896,kunsan,0.3625,koryo,0.25,chamber,0.2386547320180111
4,chamber,0.10344827586206896,situate,0.35365853658536583,kunsan,0.1744663382594417,situate,0.2265790748956329
5,koryo,0.10344827586206896,chamber,0.3493975903614458,make,0.1330049261083744,suigen,0.22634412114100302
6,planting,0.10344827586206896,reel,0.3493975903614458,building,0.1330049261083744,shingishu,0.19498739691632733
7,shingishu,0.10344827586206896,building,0.34523809523809523,paint,0.1330049261083744,kunsan,0.19456417331297501
8,paint,0.10344827586206896,suigen,0.3411764705882353,reel,0.10467980295566502,reel,0.18050461806733623
9,situate,0.06896551724137931,girl,0.32954545454545453,chamber,0.08990147783251232,girl,0.16926005749255
