word1,word2,freq
formerly,northwest,285
well,still,221
formerly,thus,203
formerly,far,192
formerly,always,190
formerly,yet,190
formerly,well,158
well,specially,116
well,especially,116
well,ago,110
formerly,still,105
well,thus,104
well,yen,102
formerly,quite,97
formerly,newly,96
formerly,simply,96
formerly,lovely,96
formerly,northeast,96
formerly,cluster,95
formerly,purely,95
formerly,silla,95
formerly,really,95
formerly,strangely,95
formerly,biroho,95
formerly,indeed,95
formerly,generally,95
formerly,bogundai,95
well,far,90
well,quite,88
well,exactly,84
well,greatly,84
well,respectively,74
well,simply,62
well,recently,60
well,later,60
well,northeast,59
well,lovely,59
well,substantially,58
well,thoroughly,58
well,periodically,58
well,enough,58
well,existence,58
well,eleven,58
well,kokuryu,58
well,late,58
well,kingdom,58
well,bukkokuji,58
well,preeminently,58
well,best,58
well,mostly,58
well,enjoy,58
well,footway,55
well,regularly,44
well,lately,44
well,originally,41
well,nearly,28
well,south,28
well,fast,27
well,archery,26
well,primarily,26
well,higher,26
well,however,26
well,usually,26
well,carefully,26
well,freely,26
well,widely,26
well,east,26
well,river,26
well,amaterasu,26
well,japan,26
well,yearly,25
thus,simply,20
thus,still,20
newly,thus,19
well,abroad,19
later,especially,18
newly,northwest,18
originally,thus,14
originally,lately,13
originally,archery,13
originally,higher,13
originally,however,13
originally,quite,13
originally,ago,13
later,still,13
originally,exactly,13
originally,still,13
originally,regularly,13
originally,far,13
originally,fast,13
thus,cluster,13
originally,greatly,13
originally,primarily,13
well,northwest,12
originally,nearly,12
thus,far,11
nearly,japan,11
thus,especially,11
formerly,later,11
thus,regularly,10
later,specially,10
thus,fast,10
later,thus,10
thus,exactly,10
thus,northeast,10
thus,mostly,10
thus,enjoy,10
thus,best,10
thus,quite,10
thus,substantially,10
thus,eleven,10
thus,bukkokuji,10
nearly,south,10
thus,preeminently,10
newly,bogundai,9
newly,lovely,9
south,yen,9
newly,strangely,9
newly,cluster,9
newly,biroho,9
newly,indeed,9
newly,really,9
newly,far,9
newly,simply,9
newly,silla,9
later,kokuryu,9
later,simply,9
later,mostly,9
later,best,9
later,eleven,9
later,bukkokuji,9
later,northeast,9
later,preeminently,9
later,exactly,9
later,substantially,9
later,quite,9
later,late,9
later,enjoy,9
later,ago,9
later,kingdom,9
later,enough,9
later,yen,9
later,existence,9
thus,lately,8
thus,lovely,8
thus,northwest,8
lately,archery,8
well,always,8
thus,silla,8
well,yet,8
formerly,especially,7
lately,ago,7
thus,bogundai,7
well,newly,6
yet,always,6
still,northeast,6
still,far,6
still,especially,5
train,well,5
still,best,5
still,enjoy,5
still,preeminently,5
politically,well,5
still,eleven,5
still,mostly,5
politically,still,5
train,still,5
especially,mostly,5
yearly,respectively,5
still,bukkokuji,5
otherwise,well,5
especially,enjoy,5
otherwise,still,5
yearly,abroad,5
especially,best,5
yen,specially,4
recently,still,4
well,generally,4
newly,yet,4
yet,purely,4
still,periodically,4
well,purely,4
well,really,4
still,exactly,4
still,specially,4
well,biroho,4
thus,yen,4
yen,late,4
yen,especially,4
yen,kokuryu,4
well,indeed,4
yen,kingdom,4
quite,always,4
quite,yet,4
well,cluster,4
well,silla,4
well,bogundai,4
well,strangely,4
train,yen,3
train,thus,3
train,ago,3
simply,silla,3
politically,thus,3
otherwise,ago,3
otherwise,yen,3
formerly,ago,3
otherwise,thus,3
later,recently,3
politically,yen,3
formerly,yen,3
politically,ago,3
newly,always,2
yet,generally,2
well,yi,2
simply,northwest,2
well,already,2
well,thereby,2
well,roadway,2
well,interior,2
well,soon,2
well,entirely,2
train,especially,2
newly,quite,2
formerly,otherwise,2
quite,purely,2
quite,generally,2
well,mokpo,2
yen,ago,2
ago,existence,2
train,far,2
recently,specially,2
recently,periodically,2
recently,far,2
recently,thoroughly,2
still,fast,2
exactly,quite,2
still,regularly,2
train,specially,2
formerly,politically,2
otherwise,originally,2
train,south,2
otherwise,far,2
politically,yearly,2
otherwise,specially,2
formerly,greatly,2
otherwise,especially,2
otherwise,respectively,2
otherwise,regularly,2
formerly,respectively,2
formerly,regularly,2
formerly,lately,2
formerly,recently,2
formerly,south,2
formerly,yearly,2
train,originally,2
train,later,2
formerly,nearly,2
train,nearly,2
otherwise,quite,2
otherwise,exactly,2
otherwise,greatly,2
politically,greatly,2
politically,south,2
politically,later,2
politically,recently,2
politically,originally,2
politically,lately,2
politically,regularly,2
politically,respectively,2
politically,exactly,2
formerly,specially,2
politically,quite,2
formerly,mostly,2
formerly,enjoy,2
formerly,best,2
politically,far,2
politically,specially,2
politically,especially,2
train,yearly,2
formerly,exactly,2
politically,nearly,2
otherwise,recently,2
otherwise,lately,2
formerly,originally,2
train,quite,2
otherwise,south,2
otherwise,nearly,2
train,greatly,2
train,exactly,2
otherwise,later,2
train,respectively,2
otherwise,yearly,2
train,regularly,2
train,lately,2
formerly,train,2
train,recently,2
politically,higher,1
politically,however,1
politically,primarily,1
carefully,freely,1
politically,archery,1
widely,freely,1
carefully,amaterasu,1
south,carefully,1
politically,fast,1
politically,footway,1
politically,lovely,1
politically,thoroughly,1
politically,periodically,1
politically,enough,1
politically,existence,1
politically,kingdom,1
carefully,widely,1
politically,widely,1
south,usually,1
politically,japan,1
politically,mokpo,1
ago,amaterasu,1
south,ago,1
usually,carefully,1
usually,widely,1
usually,freely,1
usually,amaterasu,1
politically,abroad,1
politically,east,1
ago,enough,1
later,periodically,1
periodically,specially,1
politically,river,1
politically,usually,1
still,thoroughly,1
politically,carefully,1
widely,amaterasu,1
politically,freely,1
politically,amaterasu,1
politically,kokuryu,1
greatly,however,1
politically,late,1
politically,mostly,1
politically,northeast,1
exactly,however,1
exactly,higher,1
exactly,primarily,1
politically,bukkokuji,1
politically,eleven,1
politically,best,1
politically,enjoy,1
south,amaterasu,1
ago,exactly,1
nearly,yen,1
originally,japan,1
greatly,exactly,1
otherwise,train,1
greatly,primarily,1
greatly,higher,1
otherwise,entirely,1
ago,greatly,1
south,freely,1
primarily,higher,1
politically,substantially,1
ago,quite,1
recently,greatly,1
footway,lovely,1
respectively,lovely,1
greatly,quite,1
far,fast,1
politically,simply,1
politically,preeminently,1
thus,archery,1
ago,however,1
primarily,however,1
however,quite,1
south,widely,1
ago,higher,1
freely,amaterasu,1
higher,quite,1
higher,however,1
ago,primarily,1
primarily,quite,1
respectively,footway,1
kingdom,kokuryu,1
politically,thereby,1
far,indeed,1
far,northwest,1
formerly,already,1
always,purely,1
always,generally,1
formerly,yi,1
formerly,thereby,1
formerly,mokpo,1
formerly,abroad,1
formerly,east,1
formerly,river,1
formerly,usually,1
formerly,carefully,1
formerly,widely,1
formerly,freely,1
formerly,amaterasu,1
formerly,japan,1
quite,northwest,1
far,northeast,1
formerly,primarily,1
formerly,higher,1
formerly,however,1
formerly,archery,1
formerly,fast,1
far,really,1
far,biroho,1
politically,newly,1
far,strangely,1
northwest,bogundai,1
lovely,silla,1
lovely,simply,1
lovely,northwest,1
lovely,bogundai,1
thus,strangely,1
thus,biroho,1
biroho,strangely,1
thus,indeed,1
indeed,strangely,1
indeed,biroho,1
thus,really,1
really,strangely,1
really,biroho,1
really,indeed,1
northwest,strangely,1
northwest,biroho,1
northwest,indeed,1
northwest,really,1
formerly,entirely,1
formerly,soon,1
formerly,interior,1
formerly,roadway,1
formerly,footway,1
formerly,thoroughly,1
formerly,periodically,1
formerly,enough,1
quite,simply,1
quite,substantially,1
thus,late,1
especially,late,1
thus,kokuryu,1
kokuryu,late,1
kokuryu,especially,1
thus,kingdom,1
kingdom,late,1
kingdom,especially,1
ago,widely,1
thus,specially,1
specially,late,1
specially,especially,1
specially,kokuryu,1
specially,kingdom,1
yen,existence,1
politically,entirely,1
politically,soon,1
politically,interior,1
politically,roadway,1
politically,already,1
politically,yi,1
politically,train,1
politically,otherwise,1
formerly,eleven,1
formerly,kingdom,1
formerly,existence,1
enjoy,mostly,1
best,mostly,1
best,enjoy,1
especially,eleven,1
especially,bukkokuji,1
bukkokuji,eleven,1
especially,northeast,1
northeast,eleven,1
northeast,bukkokuji,1
formerly,kokuryu,1
formerly,bukkokuji,1
formerly,late,1
especially,preeminently,1
preeminently,eleven,1
preeminently,bukkokuji,1
preeminently,northeast,1
exactly,simply,1
exactly,substantially,1
substantially,simply,1
formerly,substantially,1
formerly,preeminently,1
ago,freely,1
train,archery,1
ago,carefully,1
entirely,originally,1
entirely,recently,1
entirely,mokpo,1
entirely,south,1
entirely,yearly,1
entirely,thereby,1
entirely,nearly,1
entirely,thus,1
entirely,newly,1
entirely,yi,1
entirely,later,1
entirely,already,1
entirely,roadway,1
soon,roadway,1
entirely,interior,1
entirely,soon,1
otherwise,japan,1
otherwise,primarily,1
otherwise,higher,1
otherwise,however,1
otherwise,archery,1
otherwise,fast,1
otherwise,footway,1
otherwise,lovely,1
otherwise,thoroughly,1
soon,interior,1
soon,originally,1
roadway,later,1
interior,already,1
roadway,originally,1
interior,recently,1
interior,mokpo,1
interior,south,1
interior,yearly,1
interior,thereby,1
interior,nearly,1
interior,thus,1
interior,newly,1
interior,yi,1
otherwise,amaterasu,1
interior,originally,1
soon,already,1
interior,roadway,1
soon,recently,1
soon,mokpo,1
soon,south,1
soon,yearly,1
soon,thereby,1
soon,nearly,1
soon,thus,1
soon,newly,1
soon,yi,1
soon,later,1
otherwise,periodically,1
otherwise,enough,1
otherwise,existence,1
train,substantially,1
train,amaterasu,1
train,japan,1
train,primarily,1
train,mostly,1
train,enjoy,1
train,best,1
train,eleven,1
train,bukkokuji,1
train,northeast,1
train,preeminently,1
train,simply,1
train,late,1
otherwise,kingdom,1
train,higher,1
train,kokuryu,1
train,kingdom,1
train,existence,1
train,enough,1
train,however,1
train,periodically,1
train,thoroughly,1
train,lovely,1
train,footway,1
train,fast,1
train,freely,1
train,widely,1
train,carefully,1
train,usually,1
otherwise,kokuryu,1
otherwise,late,1
otherwise,substantially,1
otherwise,simply,1
otherwise,preeminently,1
otherwise,northeast,1
otherwise,bukkokuji,1
otherwise,eleven,1
otherwise,best,1
otherwise,enjoy,1
otherwise,mostly,1
train,entirely,1
train,soon,1
train,interior,1
train,roadway,1
train,already,1
train,yi,1
train,newly,1
train,thereby,1
train,mokpo,1
train,abroad,1
train,east,1
train,river,1
roadway,already,1
roadway,yi,1
ago,usually,1
yearly,south,1
still,yen,1
otherwise,abroad,1
yearly,lately,1
lately,yen,1
lately,regularly,1
lately,still,1
mokpo,recently,1
south,recently,1
south,mokpo,1
yearly,recently,1
yearly,mokpo,1
thereby,recently,1
regularly,yen,1
thereby,mokpo,1
thereby,south,1
thereby,yearly,1
nearly,recently,1
nearly,mokpo,1
otherwise,east,1
nearly,yearly,1
nearly,thereby,1
thus,recently,1
thus,mokpo,1
thus,south,1
yearly,still,1
yearly,regularly,1
roadway,newly,1
otherwise,yi,1
south,river,1
river,amaterasu,1
river,freely,1
river,widely,1
river,carefully,1
river,usually,1
river,ago,1
otherwise,soon,1
otherwise,interior,1
otherwise,roadway,1
otherwise,already,1
otherwise,newly,1
yearly,yen,1
otherwise,thereby,1
otherwise,mokpo,1
south,east,1
east,amaterasu,1
east,freely,1
east,widely,1
east,carefully,1
east,usually,1
east,ago,1
east,river,1
respectively,abroad,1
thus,yearly,1
thus,thereby,1
thus,nearly,1
otherwise,widely,1
already,thereby,1
already,nearly,1
already,thus,1
already,newly,1
already,yi,1
already,later,1
originally,recently,1
originally,mokpo,1
originally,south,1
originally,yearly,1
originally,thereby,1
otherwise,freely,1
newly,recently,1
originally,newly,1
originally,yi,1
originally,later,1
originally,already,1
roadway,recently,1
roadway,mokpo,1
roadway,south,1
roadway,yearly,1
roadway,thereby,1
roadway,nearly,1
roadway,thus,1
already,yearly,1
already,south,1
already,mokpo,1
already,recently,1
newly,mokpo,1
newly,south,1
newly,yearly,1
newly,thereby,1
newly,nearly,1
otherwise,river,1
yi,recently,1
yi,mokpo,1
yi,south,1
yi,yearly,1
yi,thereby,1
yi,nearly,1
yi,thus,1
yi,newly,1
otherwise,usually,1
later,mokpo,1
later,south,1
later,yearly,1
later,thereby,1
later,nearly,1
otherwise,carefully,1
later,newly,1
later,yi,1
interior,later,1
