word1,word2,freq
river,year,10525
river,school,10073
river,keijo,9460
river,mile,9387
river,court,8373
river,government,7791
river,part,7537
river,place,7044
river,picture,6210
river,building,5036
river,stone,5023
keijo,school,4770
river,japan,4730
river,hospital,4679
morning,school,4476
morning,year,4466
river,art,4389
river,mountain,4186
river,water,4186
river,day,4186
river,office,3932
river,town,3863
river,spring,3697
river,province,3696
river,centre,3689
morning,government,3547
river,hall,3521
river,temple,3351
river,city,3336
river,station,3335
river,korean,3233
river,valley,3193
river,view,3189
river,course,3123
morning,keijo,3084
river,mission,3010
river,people,2867
river,inner,2859
river,custom,2858
river,class,2858
river,peak,2858
river,foot,2694
river,work,2689
river,doctor,2673
river,department,2673
river,girl,2573
river,peninsula,2539
river,village,2513
river,tomb,2512
river,name,2511
river,house,2511
river,stream,2511
river,banbutsuso,2511
river,period,2511
river,branch,2399
river,field,2361
river,taikyu,2345
river,country,2344
river,board,2342
river,buddhist,2342
morning,part,2310
river,home,2174
river,ginseng,2083
river,railway,2031
river,child,2031
river,management,2024
river,mute,2005
river,bridge,2005
morning,mile,2002
river,service,1852
morning,office,1851
morning,picture,1848
morning,building,1848
river,heijo,1847
river,number,1847
river,rock,1845
river,business,1845
river,hill,1845
river,company,1724
river,production,1694
morning,province,1694
river,cost,1684
river,capital,1676
river,appeal,1675
river,church,1675
river,bukkokuji,1675
river,structure,1675
river,graf,1675
river,roman,1675
river,image,1674
river,sosekitei,1674
river,era,1674
river,visitor,1674
river,air,1674
river,sight,1674
river,visit,1674
river,resort,1674
river,way,1674
river,buddha,1674
river,buddhism,1674
river,marriage,1674
river,painting,1674
river,kosai,1674
river,outer,1674
river,spa,1674
river,calendar,1674
river,instance,1674
river,wall,1674
river,bridegroom,1674
river,lunar,1674
river,th,1674
river,keizan,1664
river,police,1661
keijo,year,1554
morning,court,1543
morning,japan,1540
morning,place,1540
river,yen,1532
river,bureau,1532
river,post,1532
river,trial,1532
river,organ,1506
river,headquarters,1505
river,style,1505
river,quarter,1505
river,accommodation,1505
river,rapid,1461
river,ground,1389
morning,course,1386
morning,area,1386
morning,foot,1386
morning,view,1386
river,institution,1364
river,college,1362
river,kind,1354
morning,city,1348
keijo,government,1347
river,hotel,1337
river,date,1336
river,iron,1336
river,room,1336
river,fund,1336
river,waterworks,1336
river,donation,1336
river,tree,1319
morning,company,1234
morning,river,1234
morning,town,1233
morning,korean,1232
river,street,1188
river,land,1185
river,line,1185
river,control,1185
river,ceremony,1184
river,mount,1184
river,family,1184
river,south,1184
river,april,1184
river,pine,1184
river,automobile,1184
keijo,course,1179
river,chosen,1177
river,end,1172
city,office,1172
river,yalu,1161
morning,hospital,1081
morning,branch,1081
morning,hall,1079
morning,art,1078
morning,stone,1078
city,keijo,1059
river,tobacco,1042
river,university,1042
river,area,1039
river,bank,1019
river,establishment,1016
river,fuel,1009
river,sand,1007
river,pioneer,1007
river,passage,980
street,place,933
morning,ginseng,925
morning,girl,925
morning,peninsula,924
morning,day,924
morning,centre,924
morning,management,924
morning,number,924
morning,water,924
river,market,852
