word1,word2,freq
build,choose,5718
build,situate,2879
build,make,2877
build,represent,1606
build,establish,1449
build,give,1435
build,show,1316
build,kongo,1227
han,choose,1196
build,open,1162
build,reach,1143
build,keijo,1139
build,found,1057
build,take,1019
build,stand,995
build,visit,920
build,start,827
build,watch,818
build,know,796
build,wash,781
build,erect,765
build,maintain,765
build,call,752
build,light,721
build,provide,721
build,conduct,701
build,come,664
build,occupy,664
build,use,659
build,view,620
build,form,576
build,find,547
han,make,546
build,belong,541
build,dry,541
build,obtain,541
build,hold,515
build,swing,514
build,full,514
build,salvation,510
build,grant,510
build,become,510
build,send,510
build,promise,510
han,situate,507
build,attach,469
build,divide,466
build,examination,466
build,note,466
build,transfer,466
build,plant,440
han,keijo,431
build,tower,409
build,traverse,409
build,consist,409
build,mountain,409
build,go,409
build,surname,409
build,class,409
build,keeper,409
build,grave,409
build,wed,409
build,conclude,409
build,dash,409
build,thatch,409
build,flow,409
build,escape,409
build,compose,409
build,see,409
build,choanji,409
build,superb,409
build,say,409
build,fall,409
build,rise,409
build,east,409
han,build,392
build,pass,387
build,remain,387
build,enlarge,387
build,shingishu,354
han,give,351
build,do,348
choose,keijo,330
choose,situate,328
han,establish,312
choose,wash,309
build,carry,305
build,suit,304
build,kunsan,294
build,lie,292
build,height,292
build,peninsula,292
choose,stand,285
build,paint,276
han,show,273
han,stand,273
han,reach,273
build,bath,266
choose,make,265
choose,give,264
choose,reach,262
build,waterworks,256
build,kojokan,256
build,warm,256
build,celebrate,255
build,attract,255
build,decorate,255
build,lanterns,255
build,last,255
build,supplant,255
build,aim,255
build,sew,255
build,practise,255
build,practice,255
build,blind,255
build,severance,255
build,aid,255
build,object,255
build,townships,255
build,korean,255
build,paddle,255
build,explain,255
build,charm,255
build,necessitate,255
build,couple,255
build,recentry,255
build,count,255
build,din,255
build,river,255
build,bongyoji,255
build,skirt,255
build,kaijo,255
build,even,255
build,nearest,255
build,yalu,255
build,koryu,255
build,cherish,255
build,prevail,255
build,coffin,255
build,accord,255
build,rarest,255
build,face,255
build,carve,255
build,line,255
build,cave,255
build,statues,255
build,gokurakuden,255
build,daiyuden,255
build,keishu,255
build,extend,255
build,deserve,255
build,propagate,255
build,outlying,255
build,nara,255
build,discharge,255
build,spread,255
build,station,255
build,otani,255
build,bespeak,255
build,add,255
build,buddha,255
build,include,239
build,complete,239
han,represent,234
han,open,234
build,cover,234
han,found,234
build,engage,225
choose,light,222
build,bring,214
choose,full,213
choose,swing,213
build,ply,212
build,span,212
build,measure,212
build,concern,211
build,date,211
build,surround,211
build,hill,211
build,pursue,211
build,present,211
build,enjoy,211
build,navigate,211
build,regard,211
build,motor,211
build,put,211
build,train,211
build,kokanon,211
build,contain,202
build,throw,202
build,ground,202
build,railways,201
build,railway,201
choose,show,194
choose,establish,189
choose,represent,188
choose,erect,183
build,girls,178
build,rank,178
build,enter,178
build,raise,177
build,graduate,177
build,correspond,177
build,improve,177
build,admit,177
build,allow,177
build,receive,177
build,kinds,177
build,instruction,177
build,estimate,169
build,lay,169
build,amount,158
choose,become,158
han,plant,157
han,take,156
han,call,156
han,start,156
han,erect,156
han,cover,156
han,form,156
choose,promise,144
build,koryo,133
build,prepare,132
build,sacred,132
build,seedling,132
build,chobu,132
build,boil,132
build,purpose,132
build,expect,132
build,centre,132
build,dedicate,132
build,capitalize,132
build,develop,132
build,tokyo,132
build,head,132
build,capital,132
build,produce,130
choose,provide,126
choose,find,121
choose,conduct,120
han,wash,119
han,visit,119
han,hold,117
choose,bath,117
han,provide,117
han,bring,117
han,use,117
han,find,117
han,light,117
han,attach,117
han,know,117
choose,paint,117
han,maintain,117
han,ship,117
han,conduct,117
han,become,117
han,amount,117
han,kongo,117
choose,shingishu,116
build,ship,111
choose,note,107
choose,send,102
choose,charm,96
choose,explain,96
choose,bongyoji,96
choose,paddle,96
choose,celebrate,96
choose,lanterns,96
choose,lie,96
choose,remain,96
choose,decorate,96
choose,come,96
choose,koryu,96
choose,skirt,96
choose,even,96
choose,warm,96
choose,attract,96
choose,cave,96
choose,coffin,96
choose,line,96
choose,face,96
choose,rarest,96
choose,buddha,96
choose,gokurakuden,96
choose,prevail,96
choose,statues,96
choose,cherish,96
choose,daiyuden,96
choose,keishu,96
choose,nara,96
choose,accord,96
choose,kaijo,96
choose,carve,96
build,reel,94
build,work,93
build,slide,93
build,gleam,93
build,prove,93
build,ryuto,93
build,cattle,93
build,float,93
build,fell,93
build,import,93
build,turn,93
build,yen,93
choose,found,93
build,preserve,93
build,gisen,93
choose,use,92
choose,add,89
choose,peninsula,89
choose,examination,89
choose,bespeak,89
choose,chamber,87
han,kunsan,81
han,full,80
han,swing,80
han,shingishu,80
han,chamber,79
choose,otani,79
choose,propagate,79
choose,do,79
han,suit,78
han,produce,78
choose,spread,78
choose,height,78
han,do,78
han,divide,78
han,note,78
han,examination,78
han,transfer,78
han,view,78
han,include,78
han,complete,78
han,height,78
han,carry,78
han,enlarge,78
han,lie,78
han,peninsula,78
han,obtain,78
han,lay,78
han,dry,78
han,belong,78
han,remain,78
han,engage,78
han,pass,78
han,estimate,78
han,salvation,78
han,put,78
han,improve,78
han,grant,78
han,come,78
han,see,78
han,watch,78
han,promise,78
han,occupy,78
han,send,78
build,chamber,75
choose,kojokan,75
choose,discharge,75
choose,estimate,74
choose,maintain,72
choose,kunsan,69
choose,start,62
paint,wash,61
choose,divide,60
choose,salvation,58
choose,plant,51
choose,outlying,49
choose,waterworks,49
choose,sew,48
choose,occupy,48
choose,last,48
choose,pass,48
choose,station,48
choose,supplant,48
kunsan,ship,48
choose,practise,48
choose,aim,48
choose,deserve,48
choose,yalu,48
choose,practice,48
choose,korean,48
choose,extend,48
choose,visit,46
choose,grant,44
choose,produce,43
choose,cover,43
choose,ship,43
choose,encourage,42
choose,grow,42
han,bath,41
han,waterworks,41
han,kojokan,41
han,paint,41
paint,swing,41
paint,full,41
choose,carry,40
see,kongo,40
paint,light,40
