word1,word2,freq
america,war,1260855
america,army,884154
america,state,821618
america,year,805542
america,people,742515
america,russia,719743
america,government,708017
america,power,642678
america,time,629543
america,union,582197
america,party,564397
america,country,558000
america,world,551570
america,men,541974
america,russian,528974
america,stalin,490000
america,thing,416290
america,system,372305
america,policy,363839
america,member,345507
america,labor,345463
america,man,329856
america,nation,323457
america,fact,321161
america,factory,317766
america,worker,310803
america,industry,306291
america,order,303487
america,way,301774
america,word,297336
america,day,290107
america,plan,287084
america,production,272206
america,police,264403
america,ministry,261962
america,course,259077
america,capitalist,256090
america,woman,255284
america,communist,254874
america,life,249842
america,city,245677
america,kind,245293
america,question,243502
america,home,243235
america,part,242494
america,hitler,242482
america,farm,236801
america,camp,236463
america,moscow,229873
america,development,225296
america,prisoner,225126
america,hand,221276
america,term,221190
america,history,218488
america,plant,216149
america,german,215734
america,speech,209042
america,leader,203677
america,press,203267
america,force,201108
america,american,200832
america,reason,197597
america,nothing,197549
america,work,195916
america,organization,188086
america,child,183901
america,number,179351
america,jew,178831
america,effort,178057
america,peasant,175926
america,politburo,175658
america,official,172677
america,germany,168645
america,fascism,167071
america,result,166323
america,committee,165291
america,freedom,164598
america,officer,164449
america,rumania,161672
america,line,161670
america,evidence,160832
america,definition,159644
america,economy,158409
america,security,157920
america,mvd,156423
america,theory,156098
america,control,155435
america,death,155055
america,house,154937
america,population,153678
america,occupation,153536
america,interest,153097
america,office,150420
america,diplomat,150169
america,peace,149823
america,building,149121
america,regime,148541
america,japan,148119
america,agreement,147566
america,record,147080
america,case,147057
america,enemy,146338
america,family,144008
america,department,143023
america,language,142579
america,car,142376
america,marxist,141699
america,newspaper,141696
america,area,141448
america,report,140396
america,land,140258
america,month,139934
america,point,139120
america,street,138950
america,today,138391
america,machine,137132
america,job,136901
america,thousand,133451
america,capitalism,132598
america,cent,131708
america,place,131093
america,example,130593
america,method,130528
america,problem,128347
america,equipment,127000
america,rumanian,126264
america,coal,126106
america,something,126101
america,everything,123810
america,mile,123307
america,river,122782
america,molotov,120765
america,democracy,120205
america,school,119510
america,group,117983
america,paper,117918
america,end,117408
america,condition,117337
america,ally,116870
america,steel,116585
america,purge,116211
america,troop,115753
america,operation,115144
america,guard,113376
america,price,113041
america,food,112259
america,hundred,112060
america,good,111026
america,authority,110895
america,communism,110554
america,moment,109327
america,hour,107200
america,eye,106288
america,material,105799
america,europe,105440
america,poland,105318
america,idea,104887
america,field,104499
america,pay,104185
america,soldier,104173
america,balkan,103258
america,half,102163
america,money,100421
america,center,100237
america,head,99727
america,machinery,99624
america,kremlin,99575
america,room,99169
america,program,99086
america,liberty,98619
america,character,97914
america,conclusion,97881
america,class,96911
america,pole,96398
america,capital,95558
america,others,94896
america,mass,94640
america,story,94522
america,night,94404
america,strength,94103
america,situation,93420
america,alliance,93284
america,york,92660
america,liberation,92328
america,answer,92012
america,anyone,91834
america,practice,91682
america,reconstruction,91635
america,side,91595
america,doctrine,90989
america,consumer,90652
america,concentration,90560
america,thirty,90553
america,minister,89894
america,cost,89832
america,politics,88938
america,opinion,88613
america,article,88542
america,construction,88523
america,clothes,87678
america,affair,87415
america,iron,86825
america,week,86823
america,interpreter,86540
america,fear,86532
america,right,86508
america,importance,86282
america,girl,86189
america,society,85596
america,co,85542
america,measure,85272
america,law,85004
america,negro,84637
america,information,84597
america,region,83383
america,book,82774
america,oil,82741
america,bomb,82312
america,view,82256
america,propaganda,82003
america,trust,81685
america,service,81544
america,defense,81081
germany,war,81046
america,business,80982
america,road,80849
america,doubt,79925
america,ration,79549
america,everybody,79141
